date,time,video source,abnormal or not
2022-02-15,10:07:30,train/24.mp4,Yes
2022-02-15,10:07:30,train/24.mp4,Yes
2022-02-15,10:07:31,train/24.mp4,Yes
2022-02-15,10:07:32,train/24.mp4,Yes
2022-02-15,10:07:32,train/24.mp4,Yes
2022-02-15,10:07:33,train/24.mp4,Yes
2022-02-15,10:07:33,train/24.mp4,Yes
2022-02-15,10:07:34,train/24.mp4,Yes
2022-02-15,10:07:34,train/24.mp4,Yes
2022-02-15,10:07:40,train/25.mp4,Yes
2022-02-15,10:07:42,train/25.mp4,Yes
2022-02-15,10:07:43,train/25.mp4,Yes
2022-02-15,10:07:44,train/25.mp4,Yes
2022-02-15,10:07:45,train/25.mp4,Yes
2022-02-15,10:07:45,train/25.mp4,Yes
2022-02-15,10:07:45,train/25.mp4,Yes
2022-02-15,10:07:46,train/25.mp4,Yes
2022-02-15,10:07:46,train/25.mp4,Yes
2022-02-15,10:07:47,train/25.mp4,Yes
2022-02-15,10:07:48,train/25.mp4,Yes
2022-02-15,10:07:48,train/25.mp4,Yes
2022-02-15,10:07:48,train/25.mp4,Yes
2022-02-15,10:07:49,train/25.mp4,Yes
2022-02-15,10:07:50,train/25.mp4,Yes
2022-02-15,10:07:50,train/25.mp4,Yes
2022-02-15,10:07:51,train/25.mp4,Yes
2022-02-15,10:07:51,train/25.mp4,Yes
2022-02-15,10:07:51,train/25.mp4,Yes
2022-02-15,10:07:52,train/25.mp4,Yes
2022-02-15,10:08:01,train/26.mp4,Yes
2022-02-15,10:08:01,train/26.mp4,Yes
2022-02-15,10:08:02,train/26.mp4,Yes
2022-02-15,10:08:06,train/26.mp4,Yes
2022-02-15,10:08:09,train/26.mp4,Yes
2022-02-15,10:08:11,train/26.mp4,Yes
2022-02-15,10:08:11,train/26.mp4,Yes
2022-02-15,10:08:11,train/26.mp4,Yes
2022-02-15,10:08:12,train/26.mp4,Yes
2022-02-15,10:08:12,train/26.mp4,Yes
2022-02-15,10:08:12,train/26.mp4,Yes
2022-02-15,10:08:12,train/26.mp4,Yes
2022-02-15,10:08:13,train/26.mp4,Yes
2022-02-15,10:08:13,train/26.mp4,Yes
2022-02-15,10:08:13,train/26.mp4,Yes
2022-02-15,10:08:14,train/26.mp4,Yes
2022-02-15,10:08:14,train/26.mp4,Yes
2022-02-15,10:08:14,train/26.mp4,Yes
2022-02-15,10:08:15,train/26.mp4,Yes
2022-02-15,10:08:16,train/26.mp4,Yes
2022-02-15,10:08:16,train/26.mp4,Yes
2022-02-15,10:08:16,train/26.mp4,Yes
2022-02-15,10:08:17,train/26.mp4,Yes
2022-02-15,10:08:21,train/26.mp4,Yes
2022-02-15,10:08:21,train/26.mp4,Yes
2022-02-15,10:08:22,train/26.mp4,Yes
2022-02-15,10:08:23,train/26.mp4,Yes
2022-02-15,10:08:23,train/26.mp4,Yes
2022-02-15,10:08:24,train/26.mp4,Yes
2022-02-15,10:08:24,train/26.mp4,Yes
2022-02-15,10:08:24,train/26.mp4,Yes
2022-02-15,10:08:25,train/26.mp4,Yes
2022-02-15,10:08:26,train/26.mp4,Yes
2022-02-15,10:08:26,train/26.mp4,Yes
2022-02-15,10:08:26,train/26.mp4,Yes
2022-02-15,10:08:27,train/26.mp4,Yes
2022-02-15,10:08:27,train/26.mp4,Yes
2022-02-15,10:08:28,train/26.mp4,Yes
2022-02-15,10:08:28,train/26.mp4,Yes
2022-02-15,10:08:28,train/26.mp4,Yes
2022-02-15,10:08:29,train/26.mp4,Yes
2022-02-15,10:08:29,train/26.mp4,Yes
2022-02-15,10:08:29,train/26.mp4,Yes
2022-02-15,10:08:30,train/26.mp4,Yes
2022-02-15,10:08:30,train/26.mp4,Yes
2022-02-15,10:08:30,train/26.mp4,Yes
2022-02-15,10:08:31,train/26.mp4,Yes
2022-02-15,10:08:31,train/26.mp4,Yes
2022-02-15,10:08:32,train/26.mp4,Yes
2022-02-15,10:08:32,train/26.mp4,Yes
2022-02-15,10:08:32,train/26.mp4,Yes
2022-02-15,10:08:33,train/26.mp4,Yes
2022-02-15,10:08:33,train/26.mp4,Yes
2022-02-15,10:08:33,train/26.mp4,Yes
2022-02-15,10:08:34,train/26.mp4,Yes
2022-02-15,10:08:34,train/26.mp4,Yes
2022-02-15,10:08:35,train/26.mp4,Yes
2022-02-15,10:08:35,train/26.mp4,Yes
2022-02-15,10:08:35,train/26.mp4,Yes
2022-02-15,10:08:36,train/26.mp4,Yes
2022-02-15,10:08:36,train/26.mp4,Yes
2022-02-15,10:08:37,train/26.mp4,Yes
2022-02-15,10:08:37,train/26.mp4,Yes
2022-02-15,10:08:37,train/26.mp4,Yes
2022-02-15,10:08:37,train/26.mp4,Yes
2022-02-15,10:08:38,train/26.mp4,Yes
2022-02-15,10:08:38,train/26.mp4,Yes
2022-02-15,10:08:38,train/26.mp4,Yes
2022-02-15,10:08:39,train/26.mp4,Yes
2022-02-15,10:08:39,train/26.mp4,Yes
2022-02-15,10:08:39,train/26.mp4,Yes
2022-02-15,10:08:40,train/26.mp4,Yes
2022-02-15,10:08:40,train/26.mp4,Yes
2022-02-15,10:08:40,train/26.mp4,Yes
2022-02-15,10:08:41,train/26.mp4,Yes
2022-02-15,10:08:41,train/26.mp4,Yes
2022-02-15,10:08:41,train/26.mp4,Yes
2022-02-15,10:08:42,train/26.mp4,Yes
2022-02-15,10:08:43,train/26.mp4,Yes
2022-02-15,10:08:43,train/26.mp4,Yes
2022-02-15,10:08:44,train/26.mp4,Yes
2022-02-15,10:08:44,train/26.mp4,Yes
2022-02-15,10:08:45,train/26.mp4,Yes
2022-02-15,10:08:45,train/26.mp4,Yes
2022-02-15,10:08:45,train/26.mp4,Yes
2022-02-15,10:08:46,train/26.mp4,Yes
2022-02-15,10:08:47,train/26.mp4,Yes
2022-02-15,10:08:47,train/26.mp4,Yes
